id,name,addr:street,addr:city,phone,website,latitude,longitude,source_place,precise_location,hostel_source,verified,gender,monthly_price,room_type,wifi,food,laundry,parking,attached_bathroom,hot_water,study_room,power_backup,cctv,curfew,rating,review_count,description
100,Sathi Girls Hostel,,,9844064720,,27.6883989,85.3262438,"Kathmandu, Nepal","Babarmahal, Kathmandu",Real,Yes,,13500,Shared,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,4.9,9,"Comfortable student hostel with WiFi, food and study environment."
101,Hello KTM Hostel,,,+9779843093645,https://www.helloktmhostel.com/,27.7156606,85.3057487,"Kathmandu, Nepal","Kathmandu-16, Kathmandu",Real,Yes,,14000,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3.7,5,"Comfortable student hostel with WiFi, food and study environment."
102,New Buddha Boy's Hostel,,,,,27.719372,85.348157,"Kathmandu, Nepal","Chabahil, Kathmandu",Real,Yes,,16500,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.0,21,"Comfortable student hostel with WiFi, food and study environment."
103,Everest Hostel,,,,,27.7075622,85.3248054,"Kathmandu, Nepal","Kamalpokhari, Kathmandu",Real,Yes,,14500,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4.2,18,"Comfortable student hostel with WiFi, food and study environment."
104,Chanakya Hostel,,,,,27.7075443,85.3245184,"Kathmandu, Nepal","Kamalpokhari, Kathmandu",Real,Yes,,11500,Shared,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,3.8,7,"Comfortable student hostel with WiFi, food and study environment."
105,Antique Hostel,,,,,27.7130133,85.3091872,"Kathmandu, Nepal","Kathmandu-16, Kathmandu",Real,Yes,,7500,Double,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,4.2,8,"Comfortable student hostel with WiFi, food and study environment."
106,Ananda Boys Hostel,,,,,27.6810331,85.333958,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,10500,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.2,30,"Comfortable student hostel with WiFi, food and study environment."
107,Raica Boys Hostel Block B,,,,,27.6839548,85.3350168,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,11500,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.2,37,"Comfortable student hostel with WiFi, food and study environment."
108,Skyline girls hostle,,,,,27.6883561,85.3316672,"Kathmandu, Nepal","Buddhnagar, Kathmandu",Real,Yes,,11500,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4.5,23,"Comfortable student hostel with WiFi, food and study environment."
109,Daju Bhai Boys Hostel,,,,,27.7044703,85.3345335,"Kathmandu, Nepal","Maitidevi, Kathmandu",Real,Yes,,14000,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.0,37,"Comfortable student hostel with WiFi, food and study environment."
110,Gelos Boys Hostel,,,,,27.6859554647588,85.33343932641068,"Kathmandu, Nepal","Buddhnagar, Kathmandu",Real,Yes,,8000,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,4.0,31,"Comfortable student hostel with WiFi, food and study environment."
111,Lumbini Boys Hostel,,,,,27.692063721557247,85.32948800181964,"Kathmandu, Nepal","Kathmandu-10, Kathmandu",Real,Yes,,17500,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.7,32,"Comfortable student hostel with WiFi, food and study environment."
112,Bharitya Gorkha Sainik Niwas,,,,,27.717955032738352,85.31066340794273,"Kathmandu, Nepal","Nayabazar, Kathmandu",Real,Yes,,10500,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3.7,30,"Comfortable student hostel with WiFi, food and study environment."
113,Siddhartha Boys Hostel,,,,,27.68565268290747,85.3308965515547,"Kathmandu, Nepal","Buddhnagar, Kathmandu",Real,Yes,,11000,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,4.8,10,"Comfortable student hostel with WiFi, food and study environment."
114,D&D girls hostel,,,,,27.69292153702824,85.33839817087622,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,17000,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,4.5,39,"Comfortable student hostel with WiFi, food and study environment."
115,Kathmandu Boys hostel,,,,,27.69268586553113,85.33862866073095,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,16000,Shared,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,4.5,39,"Comfortable student hostel with WiFi, food and study environment."
116,Sagun Boys Hostel,Bhupi Sherchan Marga,"Milan chowk, Mid Baneshwor, Kathamandu",,,27.69671533125264,85.34223578413992,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,17500,Shared,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,3.7,14,"Comfortable student hostel with WiFi, food and study environment."
117,Rupandehi Girls Hostel,,,,,27.69304401662467,85.3388198293809,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,10000,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,5.0,22,"Comfortable student hostel with WiFi, food and study environment."
118,Elbrus Home Second Building,,,,,27.72029655119028,85.31231258348099,"Kathmandu, Nepal","Nayabazar, Kathmandu",Real,Yes,,13500,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3.9,10,"Comfortable student hostel with WiFi, food and study environment."
119,Elbrus Home Main Building,,,,,27.720440306808488,85.31265006666445,"Kathmandu, Nepal","Samakhushi, Kathmandu",Real,Yes,,8500,Single,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,3.8,24,"Comfortable student hostel with WiFi, food and study environment."
120,Taj Girls Hostel,,,,,27.700200405975707,85.3383030064752,"Kathmandu, Nepal","Kathmandu-10, Kathmandu",Real,Yes,,15500,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.7,10,"Comfortable student hostel with WiFi, food and study environment."
121,Hiilton Boys Hostel,,,,,27.694819037782704,85.34214745267234,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,10500,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4.3,37,"Comfortable student hostel with WiFi, food and study environment."
122,New Pritoria Girls Hostel,Shram Marga,Kathmandu,+977 9846084057,,27.68751284818406,85.32890835023079,"Kathmandu, Nepal","Buddhnagar, Kathmandu",Real,Yes,,17000,Single,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,4.9,18,"Comfortable student hostel with WiFi, food and study environment."
123,MEGA BOYS HOSTEL,,,,,27.682220961362013,85.34230797494023,"Kathmandu, Nepal","Koteshwar, Kathmandu",Real,Yes,,9000,Shared,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,3.8,14,"Comfortable student hostel with WiFi, food and study environment."
124,Prashanti Girls Hostel,,,,,27.715495754628066,85.34266769449752,"Kathmandu, Nepal","Chabahil, Kathmandu",Real,Yes,,11000,Single,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.1,39,"Comfortable student hostel with WiFi, food and study environment."
125,Heavan Boys Hostel,Sinamangal Road,,,,27.70011443300292,85.3428904496991,"Kathmandu, Nepal","Sinamangal, Kathmandu",Real,Yes,,9000,Shared,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3.8,25,"Comfortable student hostel with WiFi, food and study environment."
126,Omkareshwor Girls Hostel,,,01-4107967,,27.68904791994777,85.34301890557495,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,8000,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,4.5,30,"Comfortable student hostel with WiFi, food and study environment."
127,Mata Pathivara Girls Hostel,,,,,27.69748154393532,85.33809222175431,"Kathmandu, Nepal","Kathmandu-10, Kathmandu",Real,Yes,,7500,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.1,9,"Comfortable student hostel with WiFi, food and study environment."
128,Brotherhood Boys Hostel,shree marga,Kathmandu,984-2416595,,27.69330151891577,85.3512309329972,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,9500,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.5,24,"Comfortable student hostel with WiFi, food and study environment."
129,Sanskar Awash Griha Boys hostel,,,,,27.68546315305036,85.34125754677504,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,11500,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4.4,32,"Comfortable student hostel with WiFi, food and study environment."
130,Sanskar Awash Griha Girls hostel,,,,,27.685216431458866,85.34150693161286,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,16500,Shared,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,3.8,20,"Comfortable student hostel with WiFi, food and study environment."
131,Asian Boys Hostel,,,,,27.69154745,85.34528845,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,16000,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4.4,8,"Comfortable student hostel with WiFi, food and study environment."
132,daskinkali boys hostel,,,,,27.69836978618694,85.342492670567,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,11500,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,4.1,20,"Comfortable student hostel with WiFi, food and study environment."
133,Anshu And Asim Girls Hostel,Naya Marg,Kathmandu,,,27.69164594352144,85.33553167472176,"Kathmandu, Nepal","Kathmandu-10, Kathmandu",Real,Yes,,14000,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,4.6,10,"Comfortable student hostel with WiFi, food and study environment."
134,Raica Boys Hostel Block C,,,,,27.68384377704611,85.33512632345172,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,8500,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,3.8,32,"Comfortable student hostel with WiFi, food and study environment."
135,Raica Boys Hostel Block A,,,,,27.68396871427443,85.33474808994245,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,14000,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4.6,12,"Comfortable student hostel with WiFi, food and study environment."
136,Kathmandu Girls Hostel,Shree Panchakumari Marg,Kathmandu,,,27.69304658333576,85.33868360001559,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,11500,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,4.7,34,"Comfortable student hostel with WiFi, food and study environment."
137,"Sanarch Girls Home, Block B",,,,,27.68342754061192,85.33511873502718,"Kathmandu, Nepal","Baneshwar, Kathmandu",Real,Yes,,13000,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,3.6,8,"Comfortable student hostel with WiFi, food and study environment."
138,BSET Special Hostel,,,,,27.72692298926194,85.29872243406628,"Kathmandu, Nepal","Banasthali, Kathmandu",Real,Yes,,11000,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3.7,24,"Comfortable student hostel with WiFi, food and study environment."
139,Frienship hostel,,,,,27.6743624,85.3078988,"Lalitpur, Nepal","Dhobighat, Lalitpur",Real,Yes,,15000,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.8,16,"Comfortable student hostel with WiFi, food and study environment."
140,Caribbean College Boys Hostel,,,,,27.6676324,85.31601,"Lalitpur, Nepal","Jawalakhel, Lalitpur",Real,Yes,,15500,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,3.8,12,"Comfortable student hostel with WiFi, food and study environment."
141,Namaste Ladies Hostel,,,,,27.6680586,85.3164844,"Lalitpur, Nepal","Jawalakhel, Lalitpur",Real,Yes,,14500,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4.0,5,"Comfortable student hostel with WiFi, food and study environment."
142,Lotus Hostel,,,,,27.6728739,85.3167712,"Lalitpur, Nepal","Lalitpur-20, Lalitpur",Real,Yes,,14000,Shared,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,4.2,13,"Comfortable student hostel with WiFi, food and study environment."
143,Sarojini Girls Home,,,,,27.6738166,85.3158226,"Lalitpur, Nepal","Lalitpur-04, Lalitpur",Real,Yes,,8000,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,3.9,5,"Comfortable student hostel with WiFi, food and study environment."
144,suryabinayak boys hostel,,,,,27.687732,85.3172182,"Lalitpur, Nepal","Kupondole, Lalitpur",Real,Yes,,16500,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4.8,15,"Comfortable student hostel with WiFi, food and study environment."
145,WhiteHouse Hostel,,,,,27.655908,85.3309951,"Lalitpur, Nepal","Khumaltar, Lalitpur",Real,Yes,,7500,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,4.3,36,"Comfortable student hostel with WiFi, food and study environment."
146,Nepali Travellers Airbnb,,,,,27.6717186,85.3107638,"Lalitpur, Nepal","Dhobighat, Lalitpur",Real,Yes,,13500,Double,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.5,27,"Comfortable student hostel with WiFi, food and study environment."
147,Safe Home,,,,,27.6862981,85.3130275,"Lalitpur, Nepal","Sanepa, Lalitpur",Real,Yes,,12000,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4.4,38,"Comfortable student hostel with WiFi, food and study environment."
148,Sunshine Boys Hostel,,,,,27.6624904,85.3177076,"Lalitpur, Nepal","Ekantakuna, Lalitpur",Real,Yes,,16500,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,4.4,38,"Comfortable student hostel with WiFi, food and study environment."
149,Dynamic Boys Hostel,,,,,27.6865375,85.3122652,"Lalitpur, Nepal","Sanepa, Lalitpur",Real,Yes,,11000,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,4.4,21,"Comfortable student hostel with WiFi, food and study environment."
150,Pulchowk Campus Boy's Hostel,,,,,27.681802847752973,85.32392573443833,"Lalitpur, Nepal","Lalitpur-10, Lalitpur",Real,Yes,,7000,Single,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,4.0,15,"Comfortable student hostel with WiFi, food and study environment."
151,Pulchok Campus Girls Hostel,,,,,27.683143659668023,85.32407773779785,"Lalitpur, Nepal","Kupondole, Lalitpur",Real,Yes,,8000,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.8,28,"Comfortable student hostel with WiFi, food and study environment."
152,MSc Hostel,,,,,27.680356591909224,85.31923576049653,"Lalitpur, Nepal","Lalitpur-10, Lalitpur",Real,Yes,,10500,Shared,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,4.4,13,"Comfortable student hostel with WiFi, food and study environment."
153,Pulchok TT-hall,,,,,27.68187943154453,85.32345901944528,"Lalitpur, Nepal","Kupondole, Lalitpur",Real,Yes,,17500,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.7,22,"Comfortable student hostel with WiFi, food and study environment."
154,Sanu House,Ring Road,Patan,+9771 5202212,https://www.homestaynepal.com/,27.66529695,85.33158900000001,"Lalitpur, Nepal","Lalitpur-17, Lalitpur",Real,Yes,,16000,Shared,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,4.6,12,"Comfortable student hostel with WiFi, food and study environment."
155,Pulchok Campus Boy's Hostel Block A,,,,,27.682162397323346,85.3239360050367,"Lalitpur, Nepal","Lalitpur-10, Lalitpur",Real,Yes,,16000,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.9,6,"Comfortable student hostel with WiFi, food and study environment."
156,Pulchok Campus Boy's Hostel,,,,https://www.ioe.edu.np/,27.68142878942153,85.32391883741695,"Lalitpur, Nepal","Lalitpur-10, Lalitpur",Real,Yes,,7000,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,4.4,26,"Comfortable student hostel with WiFi, food and study environment."
157,sagarmatha boys hostel 2nd building,,,,,27.670324469427005,85.33364421657373,"Lalitpur, Nepal","Guita, Lalitpur",Real,Yes,,17500,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,3.6,32,"Comfortable student hostel with WiFi, food and study environment."
158,Hostel Swastik,,,,,27.6757484,85.4341549,"Bhaktapur, Nepal","Kamal Binayak, Bhaktapur",Real,Yes,,11000,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3.7,22,"Comfortable student hostel with WiFi, food and study environment."
159,Bhanubhakta Hostel,,,,,27.674493744300893,85.41762797081212,"Bhaktapur, Nepal","Itachhen, Bhaktapur",Real,Yes,,16000,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3.7,38,"Comfortable student hostel with WiFi, food and study environment."
160,Devkota Hostel,,,,,27.67442221838628,85.4166829175917,"Bhaktapur, Nepal","Itachhen, Bhaktapur",Real,Yes,,7500,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,4.0,9,"Comfortable student hostel with WiFi, food and study environment."
161,Lekhnath Hostel,,,,,27.6746932122786,85.41672332926746,"Bhaktapur, Nepal","Itachhen, Bhaktapur",Real,Yes,,9500,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.8,21,"Comfortable student hostel with WiFi, food and study environment."
162,Araniko Hostel,,,,,27.674108642261952,85.41748922275144,"Bhaktapur, Nepal","Itachhen, Bhaktapur",Real,Yes,,14500,Double,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.5,9,"Comfortable student hostel with WiFi, food and study environment."
163,Siddhartha Hostel,,,,,27.67115858892782,85.41678750475258,"Bhaktapur, Nepal","Bhaktapur-01, Bhaktapur",Real,Yes,,15000,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.3,36,"Comfortable student hostel with WiFi, food and study environment."
164,Gehendra Hostel,,,,,27.67389981856484,85.41612574313126,"Bhaktapur, Nepal","Itachhen, Bhaktapur",Real,Yes,,17000,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,4.1,34,"Comfortable student hostel with WiFi, food and study environment."
165,Amarsingh Hostel,,,,,27.673740702584908,85.41669413676519,"Bhaktapur, Nepal","Itachhen, Bhaktapur",Real,Yes,,14000,Single,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3.7,37,"Comfortable student hostel with WiFi, food and study environment."
166,Balmiki Hostel,,,,,27.67125767127138,85.41604163233029,"Bhaktapur, Nepal","Bhaktapur-01, Bhaktapur",Real,Yes,,11000,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.1,28,"Comfortable student hostel with WiFi, food and study environment."
167,GPA Girls Hostel,,,,,27.637766,85.33238,,"Dhapakhel, Lalitpur",Real,Yes,Girls,9500,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,3.8,8,"Comfortable student hostel with WiFi, food and study environment."
168,Om Mangal Murti Hostel,,,,,27.63714,85.331743,,"Dhapakhel, Lalitpur",Real,Yes,Mixed,16000,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4.5,36,"Comfortable student hostel with WiFi, food and study environment."
169,Shree Hostel,,,,,27.695119584856656,85.3345386979497,,"Kalanki, Kathmandu",Generated,No,Girls,13500,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4.5,15,"Comfortable student hostel with WiFi, food and study environment."
170,Royal Girls Hostel,,,,,27.682081930717924,85.33339158095946,,"Kalanki, Kathmandu",Generated,No,Boys,17000,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.5,28,"Comfortable student hostel with WiFi, food and study environment."
171,Om Girls Hostel,,,,,27.681153680251754,85.34082267845169,,"Imadol, Lalitpur",Generated,No,Boys,14500,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.0,15,"Comfortable student hostel with WiFi, food and study environment."
172,Everest Residence,,,,,27.709840936185138,85.33672766283293,,"Koteshwor, Kathmandu",Generated,No,Mixed,8000,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.3,21,"Comfortable student hostel with WiFi, food and study environment."
173,Royal Residence,,,,,27.707252657592615,85.32391688536669,,"Jawalakhel, Lalitpur",Generated,No,Boys,14500,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,4.2,11,"Comfortable student hostel with WiFi, food and study environment."
174,Green Girls Hostel,,,,,27.68588383155758,85.32729521573812,,"Pulchowk, Lalitpur",Generated,No,Boys,12500,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,3.7,12,"Comfortable student hostel with WiFi, food and study environment."
175,Golden Hostel,,,,,27.682322127146772,85.34513641236582,,"Chabahil, Kathmandu",Generated,No,Girls,13500,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,4.0,19,"Comfortable student hostel with WiFi, food and study environment."
176,Green Girls Hostel,,,,,27.686611818657013,85.34604817900944,,"Baneshwor, Kathmandu",Generated,No,Mixed,12000,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.2,37,"Comfortable student hostel with WiFi, food and study environment."
177,Peace Hostel,,,,,27.691322237219964,85.33946488265516,,"Baneshwor, Kathmandu",Generated,No,Boys,12000,Double,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,3.6,5,"Comfortable student hostel with WiFi, food and study environment."
178,Green Student Hostel,,,,,27.687919404900157,85.32605744120947,,"Jawalakhel, Lalitpur",Generated,No,Girls,17500,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.0,7,"Comfortable student hostel with WiFi, food and study environment."
179,Mountain Student Home,,,,,27.636641,85.330526,,"Dhapakhel, Lalitpur",Generated,No,Mixed,8500,Single,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3.5,5,"Comfortable student hostel with WiFi, food and study environment."
180,Royal Student Hostel,,,,,27.680896505062012,85.31937232000465,,"Boudha, Kathmandu",Generated,No,Girls,9500,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.7,20,"Comfortable student hostel with WiFi, food and study environment."
181,Om Girls Hostel,,,,,27.690627241307137,85.34699001471849,,"Baneshwor, Kathmandu",Generated,No,Mixed,12000,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.7,7,"Comfortable student hostel with WiFi, food and study environment."
182,Everest Student Hostel,,,,,27.681099978690636,85.3249989887487,,"Thimi, Bhaktapur",Generated,No,Girls,13500,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.9,35,"Comfortable student hostel with WiFi, food and study environment."
183,Valley Student Home,,,,,27.68238745914809,85.34073715442085,,"Jawalakhel, Lalitpur",Generated,No,Boys,14500,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.3,28,"Comfortable student hostel with WiFi, food and study environment."
184,Mountain Boys Hostel,,,,,27.703020654661177,85.32267902760425,,"Koteshwor, Kathmandu",Generated,No,Girls,11500,Shared,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,4.2,29,"Comfortable student hostel with WiFi, food and study environment."
185,Shree Residency,,,,,27.683852721278104,85.34655405592837,,"Satdobato, Lalitpur",Generated,No,Mixed,17500,Double,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,4.5,14,"Comfortable student hostel with WiFi, food and study environment."
186,Green Student Hostel,,,,,27.67546213530918,85.43448903169978,,"Koteshwor, Kathmandu",Generated,No,Mixed,13000,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,4.1,16,"Comfortable student hostel with WiFi, food and study environment."
187,Himalayan Student Hostel,,,,,27.714741663339556,85.31256932863013,,"Gwarko, Lalitpur",Generated,No,Boys,15500,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,4.8,7,"Comfortable student hostel with WiFi, food and study environment."
188,Himalayan Boys Hostel,,,,,27.686384748916318,85.34119557148006,,"Imadol, Lalitpur",Generated,No,Mixed,7500,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.2,40,"Comfortable student hostel with WiFi, food and study environment."
189,Shree Residence,,,,,27.71202858552096,85.3377313573804,,"Thimi, Bhaktapur",Generated,No,Mixed,14000,Double,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3.6,31,"Comfortable student hostel with WiFi, food and study environment."
190,Shree Residence,,,,,27.675576099556043,85.41745017074356,,"Pulchowk, Lalitpur",Generated,No,Mixed,8000,Single,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,3.5,19,"Comfortable student hostel with WiFi, food and study environment."
191,Lotus Boys Hostel,,,,,27.683630601892123,85.34325730051458,,"Thimi, Bhaktapur",Generated,No,Mixed,12000,Shared,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4.6,25,"Comfortable student hostel with WiFi, food and study environment."
192,Shree Residence,,,,,27.709774511761513,85.33684915620302,,"Koteshwor, Kathmandu",Generated,No,Mixed,11000,Single,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,3.9,20,"Comfortable student hostel with WiFi, food and study environment."
193,Peace Residence,,,,,27.68280431135738,85.34500567427935,,"Gwarko, Lalitpur",Generated,No,Mixed,12000,Double,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.9,31,"Comfortable student hostel with WiFi, food and study environment."
194,Lotus Girls Hostel,,,,,27.717018580845753,85.3475584570742,,"Chabahil, Kathmandu",Generated,No,Boys,8500,Single,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4.3,25,"Comfortable student hostel with WiFi, food and study environment."
195,Himalayan Residency,,,,,27.68454417833784,85.34474322283212,,"Pulchowk, Lalitpur",Generated,No,Boys,13000,Shared,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,3.8,22,"Comfortable student hostel with WiFi, food and study environment."
196,Himalayan Hostel,,,,,27.692405400665976,85.33534393839682,,"Satdobato, Lalitpur",Generated,No,Girls,15000,Shared,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,4.2,9,"Comfortable student hostel with WiFi, food and study environment."
197,Shree Residence,,,,,27.68467329301368,85.34631273797471,,"Koteshwor, Kathmandu",Generated,No,Boys,7000,Double,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,4.6,28,"Comfortable student hostel with WiFi, food and study environment."
198,Lotus Residency,,,,,27.68899510329099,85.33345459471882,,"Chabahil, Kathmandu",Generated,No,Mixed,17500,Shared,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,4.6,12,"Comfortable student hostel with WiFi, food and study environment."
199,Shree Residence,,,,,27.674971651760803,85.33849969282177,,"Satdobato, Lalitpur",Generated,No,Mixed,15500,Single,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,4.3,37,"Comfortable student hostel with WiFi, food and study environment."
200,Mountain Student Home,,,,,27.683846304253557,85.3458147651652,,"Jawalakhel, Lalitpur",Generated,No,Girls,14000,Shared,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,3.7,8,"Comfortable student hostel with WiFi, food and study environment."
